"","SF/CAT","LU/PR","","","","","","","","","","","","","","","","","",""
"1","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function"
"2",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"3",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"4","4a","LU","5.11, d=0.99","3.34, d=0.49","1.75, d=0.22","-1.12, d=-0.12","-4.25, d=-0.44","-6.64, d=-0.65","1.38, d=0.61","0.87, d=0.25","0.37, d=0.09","-0.87, d=-0.15","-2.39, d=-0.35","-3.34, d=-0.45","7.92, d=0.85","5.19, d=0.55","2.4, d=0.24","-1.46, d=-0.14","-3.58, d=-0.37","-6.62, d=-0.72"
"5","4a","PR","5.14, d=1","3.36, d=0.5","1.78, d=0.22","-1.12, d=-0.12","-4.26, d=-0.44","-6.65, d=-0.65","1.38, d=0.61","0.88, d=0.26","0.38, d=0.09","-0.86, d=-0.15","-2.37, d=-0.34","-3.36, d=-0.45","7.99, d=0.86","5.23, d=0.55","2.44, d=0.25","-1.41, d=-0.14","-3.55, d=-0.37","-6.6, d=-0.71"
"6","6b","LU","5.97, d=1","3.75, d=0.5","1.92, d=0.23","-1.25, d=-0.13","-4.6, d=-0.47","-7.1, d=-0.69","2.07, d=0.72","1.37, d=0.33","0.64, d=0.13","-1.07, d=-0.16","-2.87, d=-0.38","-4.11, d=-0.5","8.34, d=0.86","5.39, d=0.56","2.49, d=0.25","-1.38, d=-0.14","-3.53, d=-0.36","-6.68, d=-0.73"
"7","6b","PR","5.99, d=1.01","3.78, d=0.51","1.94, d=0.23","-1.26, d=-0.13","-4.59, d=-0.47","-7.08, d=-0.69","2.06, d=0.72","1.38, d=0.34","0.65, d=0.13","-1.06, d=-0.16","-2.85, d=-0.38","-4.12, d=-0.5","8.4, d=0.87","5.44, d=0.57","2.51, d=0.26","-1.32, d=-0.13","-3.52, d=-0.36","-6.67, d=-0.73"
"8","8b","LU","6.41, d=1","4, d=0.51","2.09, d=0.24","-1.41, d=-0.15","-4.78, d=-0.49","-7.22, d=-0.7","2.4, d=0.73","1.55, d=0.34","0.77, d=0.14","-1.13, d=-0.16","-3.13, d=-0.39","-4.44, d=-0.52","8.44, d=0.85","5.47, d=0.56","2.46, d=0.25","-1.47, d=-0.15","-3.61, d=-0.37","-6.8, d=-0.75"
"9","8b","PR","6.42, d=1","4.04, d=0.52","2.12, d=0.24","-1.39, d=-0.14","-4.77, d=-0.48","-7.19, d=-0.7","2.4, d=0.74","1.56, d=0.34","0.78, d=0.15","-1.12, d=-0.16","-3.11, d=-0.39","-4.44, d=-0.52","8.48, d=0.86","5.5, d=0.56","2.48, d=0.25","-1.41, d=-0.14","-3.6, d=-0.37","-6.77, d=-0.74"
"10","10a","LU","6.53, d=0.95","3.86, d=0.48","1.71, d=0.19","-1.54, d=-0.16","-4.82, d=-0.49","-7.34, d=-0.72","2.98, d=0.74","1.98, d=0.38","1.06, d=0.18","-1.39, d=-0.19","-3.41, d=-0.42","-4.71, d=-0.55","8.29, d=0.84","5.48, d=0.55","2.44, d=0.25","-1.5, d=-0.15","-3.75, d=-0.38","-7.13, d=-0.75"
