"","SF/CAT","LU/PR","","","","","","","","","","","","","","","","","",""
"1","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function"
"2",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"3",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"4","4a","LU","53.1","58.8","62.3","66.7","73.3","77.3","17.1","21.1","24.4","30.6","39.7","43.1","83.1","81","81.7","84","81.9","83.2"
"5","4a","PR","53.8","59.2","62.7","68","74","77.5","17.1","21.3","24.7","30.8","39.9","43.7","83.7","81.1","82.3","82.9","81.9","83"
"6","6b","LU","64.5","68.3","73.7","73.7","80","82.4","27.8","32.6","36.6","42.2","53.3","57.1","84.2","83","83.8","82.8","83.1","83.7"
"7","6b","PR","64.1","68.7","74","73.4","79.6","81.8","27.8","32.7","36.5","42.4","53.5","57.1","83.9","83.4","83.9","82.8","82.3","83.2"
"8","8b","LU","70.5","73.2","76.3","76","81.9","84.4","35.7","38.5","43","50.2","58.1","62.9","84.9","83.5","84","83.4","83","83.1"
"9","8b","PR","70.2","73.2","75.5","75.2","82.6","84.4","35.6","38.5","43.2","50","57.8","62.6","84.3","83.1","83.8","83.2","83","82.4"
"10","10a","LU","76.9","76.6","79","79.1","80.6","84.2","52.5","54.9","55.8","65.1","70.4","71.2","86.4","82.2","84.9","85.4","84.5","83.3"
"11","10a","PR","78","77.6","79.6","80.3","81.3","85.2","52.9","55","56.3","66","70.3","72","86.1","83.2","83.8","85.3","82.6","84"
"12","10b","LU","74.5","75","76.5","78.7","81.2","81.9","48.6","50.9","54.5","62.2","67.9","70.1","85.4","83.4","83.8","84.4","83.1","83.3"
"13","10b","PR","75.4","77.6","77.2","78.5","82","83.7","48.9","51.7","55.6","62.8","68.6","71","85.7","83.6","83.5","84.9","82.9","83"
"14","20a","LU","79.3","80.1","80.8","80","82.2","85","56.4","57.5","58.8","68","73.3","76.2","86.1","82.2","85.4","84.5","83","82.7"
