"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function"
"","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean"
"NI",NA,"1","2","3","4","5","6","7","8","9","10","10","11","12","13","14","15","16","17","18","19","20"
"SF",NA,NA,NA,NA,"4a",NA,"6b",NA,"8b",NA,"10a","10b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20a"
"LU-SF",NA,NA,NA,NA,"4.8(4.48) 1.6-19",NA,"3.96(3.91) 1-17",NA,"3.56(3.59) 1.31-15.9",NA,"3.53(3.2) 1.28-14.1","3.76(3.31) 1.09-14.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.14(3.1) 0.6-13.3"
"PR-SF",NA,NA,NA,NA,"4.79(4.5) 1.59-18.97",NA,"3.94(3.95) 1.1-17.03",NA,"3.53(3.63) 1.23-15.94",NA,"3.45(3.26) 1.06-14.09","3.69(3.31) 1.13-14.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.04(3.12) 0.47-13.28"
"CAT",NA,NA,NA,NA,"2.22(1.19) 1.23-5.67","2.75(2.01) 0.8-9.32","2.51(1.71) 0.28-5.96","2.91(1.39) 1.02-5.88","3.27(1.79) 1.15-8.39","3.08(1.87) 0.54-6.34","2.44(1.61) 0.3-4.49",NA,"2.73(1.68) 0.05-5.57","3.11(1.41) 0.15-5.22",NA,NA,NA,NA,NA,NA,NA,NA
"n (CAT)",NA,NA,NA,NA,"672","83","47","61","41","20","11",NA,"14","51",NA,NA,NA,NA,NA,NA,NA,NA
"","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean"
"NI",NA,"1","2","3","4","5","6","7","8","9","10","10","11","12","13","14","15","16","17","18","19","20"
"SF",NA,NA,NA,NA,"4a",NA,"6b",NA,"8b",NA,"10a","10b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20a"
"LU-SF",NA,NA,NA,NA,"9.04(9.62) 0.2-33",NA,"7.83(8.97) 0.7-31",NA,"7.23(8.54) 0.3-29.9",NA,"6.68(7.8) 0-28.1","7.03(7.97) 0-28.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.19(7.58) 0.5-27.3"
"PR-SF",NA,NA,NA,NA,"9.02(9.66) 0.27-32.97",NA,"7.84(9.02) 0.01-31.03",NA,"7.24(8.58) 0.62-29.94",NA,"6.63(7.8) 0.15-28.09","6.98(8.05) 0.01-28.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.11(7.64) 0.26-27.28"
"CAT",NA,NA,NA,NA,"2.52(2.1) 0.38-10.32","3.08(2.13) 1.24-8.33","3.42(2.42) 1.08-9.96","2.82(2.03) 0.66-7.07","2.85(2.19) 0.91-7.92","3.39(2.48) 0.34-8.66","2.84(1.31) 0.63-4.93",NA,"3.82(2.76) 0.16-8.96","4.15(3.62) 1.74-14.41",NA,NA,NA,NA,NA,NA,NA,NA
"n (CAT)",NA,NA,NA,NA,"322","69","71","90","65","53","35",NA,"28","267",NA,NA,NA,NA,NA,NA,NA,NA
"","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"NI",NA,"1","2","3","4","5","6","7","8","9","10","10","11","12","13","14","15","16","17","18","19","20"
"SF",NA,NA,NA,NA,"4a",NA,"6b",NA,"8b",NA,"10a","10b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20a"
"LU-SF",NA,NA,NA,NA,"3.54(3.07) 1-16",NA,"2.89(2.95) 0-14",NA,"2.44(2.67) 0.1-12.9",NA,"2.52(1.7) 0.1-11.1","2.71(1.79) 0.7-11.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.94(1.75) 0.3-10.3"
"PR-SF",NA,NA,NA,NA,"3.5(3.09) 0.97-15.97",NA,"2.85(2.97) 0.03-14.03",NA,"2.41(2.7) 0.06-12.94",NA,"2.43(1.73) 0.09-11.09","2.6(1.8) 0.71-11.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.87(1.89) 0.28-10.28"
"CAT",NA,NA,NA,NA,"2.33(1.66) 1.57-8.63","2.2(1.06) 0.48-4.65","2.36(1.78) 0.01-5.28","2.25(1.45) 0.25-4.12","2.1(1.31) 0.3-3.65","3.23(0.92) 2.52-3.82","1.88(NA) 1.88-1.88",NA,"3.71(1.98) 1.1-4.85","4.21(2.8) 0.1-6.65",NA,NA,NA,NA,NA,NA,NA,NA
"n (CAT)",NA,NA,NA,NA,"894","57","22","8","7","2","1",NA,"3","6",NA,NA,NA,NA,NA,NA,NA,NA
"","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference","Pain_Interference"
"","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","50 mean",NA,NA,NA,NA,NA,NA,NA,NA
"NI",NA,"1","2","3","4","5","6","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA
"SF",NA,NA,NA,NA,"4a",NA,"6a","6b",NA,"8a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
